,Keyword: ,((hypertension[Title]) AND (BMI[Title/Abstract])) AND (incidence[Title/Abstract]) AND change,,,,
9,[Association between obesity in childhood and hypertension incidence: a prospective cohort study],2011 Aug;45(8):696-701.,Zhonghua Yu Fang Yi Xue Za Zhi,Hong Cheng,,"Objective: To explore the impact of obesity level and the level change in childhood on hypertension incidence.
Methods: A perspective cohort study was conducted. As part of Beijing Child and Adolescent Metabolic Syndrome Study, 2189 aged 6 - 16 year non-hypertensive children was followed up in December, 2010. In this study, height, weight, waist circumference (WC) and blood pressure was measured at follow-up, and body mass index (BMI) and WC was respectively used to assess overweight, obesity and abdominal obesity. Non-conditional logistic regression was used to evaluate the association between baseline obesity status, change of obesity status and hypertension incidence. OR and 95%CI were computed in the model using obese status as dummy variable and hypertension at follow up visit as dependent variable.

Results: The total hypertension incidence of 1184 subjects during 6 years follow-up was 19.9% (236/1184). The hypertension incidence in male (23.2%, 149/643) was higher than that in female (16.1%, 87/541) (??(2) = 9.257, P = 0.002). The hypertension incidence of non-overweight, overweight and obese children at baseline was 8.7% (45/519), 19.3% (35/181) and 32.4% (156/484) respectively (??(2) = 9.332, P < 0.001), and the incidence of non-obese and abdominal obese children at baseline was respectively 10.3% (63/613) and 30.7% (173/567) (??(2) = 77.753, P < 0.001). Hypertension incidence in the baseline obesity group was higher than the non-overweight (BMI: OR = 4.9, 95%CI: 3.4 - 7.0) and non-obese group (WC: OR = 3.9, 95%CI: 2.8 - 5.3). The hypertension incidence increased with the follow-up BMI/WC level, based on the same baseline level of BMI and WC. The hypertension risk increased to 0.21 and 0.07 times respectively with elevation of baseline BMI level by 1 kg/m(2) and WC level by 1 cm, and OR (95%CI) were 1.21 (1.16 - 1.26) and 1.07 (1.05 - 1.09), respectively. Similarly, the hypertension risk increased 0.16 and 0.05 times respectively with the elevation of BMI level change by 1 kg/m(2) and 1 cm, and OR (95%CI) were 1.16 (1.11 - 1.22) and 1.05 (1.03 - 1.07), respectively.

Conclusion: Obesity and increased obesity level change in childhood can increase the risk of incident hypertension."
10,Decreases in adiposity reduce the risk of hypertension: Results from a prospective cohort of adolescents,2019 Mar;120:1-7.,Prev Med,Joana Ara??jo,https://doi.org/10.1016/j.ypmed.2018.12.017,"This study aimed to evaluate the effect of age-related changes in body mass index and waist circumference during adolescence on blood pressure levels and incidence of hypertension. 

Among the 2159 adolescents recruited at 13 years in Porto, Portugal, we evaluated those free of hypertension at baseline and followed-up at 17 years (n = 1377) - EPITeen cohort, 2003-2008. Changes in BMI percentage (BMI%) and waist circumference percentage (WC%) were evaluated continuously as the difference between 13 and 17 years, then categorized in sex-specific quartiles. Hypertension was defined as systolic and/or diastolic blood pressure ??? 95th sex- age- and height-specific reference percentile. The association between changes in adiposity and incidence of hypertension was computed through generalized linear models with log link function and Poisson distribution [incidence rate ratios (IRR), 95% confidence intervals (95%CI)], adjusting for baseline adiposity, sex, and family history of hypertension. Overall incidence rate of hypertension was 23.8 (95%CI 19.6-28.8) per 1000 person-years. Participants presenting the highest decrease in BMI% from 13 to 17 years (1st quartile) presented lower SBP at 17y, while for those with increasing BMI% (4th quartile) SBP increased. In comparison to stable BMI% (3rd quartile), decreases in BMI% (1st quartile) were associated with 44% lower risk of hypertension at 17y (IRR = 0.56, 95%CI 0.32-0.97). Increases in BMI% (4th quartile) were associated with increased incidence, although without statistical significance (IRR = 1.11, 95%CI 0.66-1.85). 

Results were similar when considering changes in WC%. Decreases in BMI and WC throughout adolescence in the whole spectrum of adiposity levels presented potential benefit for blood pressure."
11,Hypertension and its severity in children with steroid sensitive nephrotic syndrome during remission,2018 Oct;22(5):1157-1162.,Clin Exp Nephrol,Swasti Keshri,https://doi.org/10.1007/s10157-018-1565-3,"Background and objective: Hypertension is not a typical feature of steroid sensitive nephrotic syndrome (SSNS) and the presence of persistent hypertension is suggestive of significant renal lesion. There is paucity of data regarding occurrence and severity of hypertension in SSNS in pediatric population during remission and was the main objective of this study. In addition, correlation with factors like family history, BMI, and lipid profile was studied.

Methods: Cross-sectional study conducted at tertiary care center in India including 81 children of infrequent relapsing SSNS between 1 and 10 years in remission and was off steroids. Grading and severity of hypertension were assessed. Statistical analysis was done using SPSS version 21.0.

Results: Median age of presentation was 5 years, with male:female ratio of 1.3:1. Out of 81 infrequent relapsing SSNS children, 23.45% (19) had hypertension. Among those children with hypertension (n = 19), 73.68% (14) had positive family history compared to 32.25% (20) in those without hypertension. Positive correlation was found between BP and serum cholesterol and LDL. Of the hypertensive patients, 1 (5.26%) had fundus changes, 2 (10.52%) had features of left ventricular hypertrophy, and 13 (68.42%) had non-nephrotic range proteinuria.

Conclusion: There is high incidence of hypertension in NS children during remission. Though significant positive correlation was found with positive family history of hypertension and deranged lipid profile highlighting possibility of essential hypertension in them, there is need for close active monitoring and management of hypertension in them as untreated cases may have significant target organ damage."
12,Changes in Leisure Time Physical Activity Preferences and Hypertension Risk,2019 Jan 1;43(1):145-157.,Am J Health Behav,Junmin Zhou,https://doi.org/10.5993/ajhb.43.1.12,"Objectives: In this study, we examined the association between changes in leisure time physical activity (LTPA) preference (the extent to which participants liked or disliked certain types of physical activity) and the incidence of hypertension; we also assessed whether the association differed between urban and rural China. 

Methods: Based on longitudinal data from 2687 Chinese adults between 2004 and 2011, we performed multivariate logistic regressions were to assess the aforementioned association. We conducted stratified analyses to examine the urban-rural differences in this association. 

Results: The mean age was 40.0 (Standard Deviation = 12.5), and the mean BMI was 23.7 (Standard Deviation = 3.3). Adjusted estimates show that relative to respondents with no changes in LTPA preference, respondents who reduced preference were more likely to develop hypertension (OR = 1.92, 95% CI = 1.13-3.28). This association, however, was statistically significant among urban residents (OR = 2.19, 95% CI = 1.04-4.60), but not rural participants.

 Conclusions: Changes in LTPA preference and development of hypertension were significantly correlated, especially among urban Chinese. Hypertension prevention programs may identify the groups at elevated risk by examining levels and changes of LTPA preferences."
13,Association Between Idiopathic Intracranial Hypertension and Risk of Cardiovascular Diseases in Women in the United Kingdom,2019 Sep 1;76(9):1088-1098.,JAMA Neurol,Nicola J Adderley,https://doi.org/10.1001/jamaneurol.2019.1812,"Importance: Cardiovascular disease (CVD) risk has not been previously evaluated in a large matched cohort study in idiopathic intracranial hypertension (IIH).
Objectives: To estimate the risk of composite cardiovascular events, heart failure, ischemic heart disease, stroke/transient ischemic attack (TIA), type 2 diabetes, and hypertension in women with idiopathic intracranial hypertension and compare it with the risk in women, matched on body mass index (BMI) and age, without the condition; and to evaluate the prevalence and incidence of IIH.
Design, setting, and participants: This population-based matched controlled cohort study used 28 years of data, from January 1, 1990, to January 17, 2018, from The Health Improvement Network (THIN), an anonymized, nationally representative electronic medical records database in the United Kingdom. All female patients aged 16 years or older were eligible for inclusion. Female patients with IIH (n = 2760) were included and randomly matched with up to 10 control patients (n = 27 125) by BMI and age.
Main outcomes and measures: Adjusted hazard ratios (aHRs) of cardiovascular outcomes were calculated using Cox regression models. The primary outcome was a composite of any CVD (heart failure, ischemic heart disease, and stroke/TIA), and the secondary outcomes were each CVD outcome, type 2 diabetes, and hypertension.
Results: In total, 2760 women with IIH and 27 125 women without IIH were included. Age and BMI were similar between the 2 groups, with a median (interquartile range) age of 32.1 (25.6-42.0) years in the exposed group and 32.1 (25.7-42.1) years in the control group; in the exposed group 1728 women (62.6%) were obese, and in the control group 16514 women (60.9%) were obese. Higher absolute risks for all cardiovascular outcomes were observed in women with IIH compared with control patients. The aHRs were as follows: composite cardiovascular events, 2.10 (95% CI, 1.61-2.74; P < .001); heart failure, 1.97 (95% CI, 1.16-3.37; P = .01); ischemic heart disease, 1.94 (95% CI, 1.27-2.94; P = .002); stroke/TIA, 2.27 (95% CI, 1.61-3.21; P < .001); type 2 diabetes, 1.30 (95% CI, 1.07-1.57; P = .009); and hypertension, 1.55 (95% CI, 1.30-1.84; P < .001). The incidence of IIH in female patients more than tripled between 2005 and 2017, from 2.5 to 9.3 per 100 000 person-years. Similarly, IIH prevalence increased in the same period, from 26 to 79 per 100 000 women. Incidence increased markedly with BMI higher than 30.
Conclusions and relevance: Idiopathic intracranial hypertension in women appeared to be associated with a 2-fold increase in CVD risk; change in patient care to modify risk factors for CVD may reduce long-term morbidity for women with IIH and warrants further evaluation."
14,Does occupational lifting affect the risk of hypertension? Cross-sectional and prospective associations in the Copenhagen City Heart Study,2020 Mar 1;46(2):188-197.,Scand J Work Environ Health,Mette Korsh??j,https://doi.org/10.5271/sjweh.3850,"Objective The aim of this study was to investigate cross-sectional and prospective associations between heavy occupational lifting and hypertension. 

Methods Data from the third, fourth and fifth examinations of the Copenhagen City Heart Study were included. Multivariable logistic regression models were applied to adjust for sex, age, body mass index (BMI), smoking, education, self-rated cardiorespiratory fitness, vital exhaustion and baseline blood pressure, and were used to estimate (i) the cross-sectional association between heavy occupational lifting and hypertension, defined as using anti-hypertensives or having a systolic blood pressure (SBP) >=140 mmHg or diastolic blood pressure (DBP) >=90 mmHg, and (ii) the prospective association between heavy occupational lifting and risk of becoming a systolic blood pressure case, defined as an above median change (from baseline to follow-up) and/or a shift from no use of anti-hypertensives at baseline to use of anti-hypertensives at a ten-year follow-up. 

Results Both cross-sectional [odds ratio (OR) 1.06, 95% confidence interval (CI) 0.94-1.20] and prospective (OR 1.10, 95% CI 0.92-1.31) analysis indicated no relations. Explorative prospective analyses suggested linear associations between heavy occupational lifting and systolic blood pressure among participants using anti-hypertensives. Exposure to heavy occupational lifting tended to increase the incidence of hypertension (OR 1.30, 95% CI 0.97-1.73) among participants ???50 years. 

Conclusions No associations were seen among the general population. Positive associations were seen among users of anti-hypertensives and participants ???50 years, indicating these groups as vulnerable to increases in blood pressure when exposed to occupational lifting."
15,Dietary patterns associated with hypertension risk among adults in Thailand: 8-year findings from the Thai Cohort Study,2019 Feb;22(2):307-313.,Public Health Nutr,Zumin Shi,https://doi.org/10.1017/s1368980018002203,"Objective: Dietary intake is a leading risk factor for hypertension. We aimed to assess longitudinal associations between overall dietary patterns and incident hypertension among adults in Thailand.

Design: Prospective large Thai Cohort Study (TCS) conducted nationwide from 2005 to 2013. Dietary patterns were identified using factor analysis based on usual intake of fourteen food groups. Multivariable logistic regression assessed associations between dietary patterns and hypertension prevalence and incidence.

Setting: Emerging hypertension and changing diets in Thailand.

Subjects: TCS participants who were normotensive at baseline in 2005.

Results: Among 36293 participants without hypertension at baseline, 1831 reported incident hypertension (5??1 % incidence) at follow-up. Two dietary patterns were identified: 'Modern' and 'Prudent'. The Modern dietary pattern (high intakes of roasted/smoked foods, instant foods, canned foods, fermented fruits/vegetables, fermented foods, soft drinks, deep-fried foods) was associated with increased incident hypertension (comparing extreme quartiles, OR for incident hypertension=1??51; 95 % CI 1??31, 1??75 in 2013). The Prudent dietary pattern (high intakes of soyabean products, milk, fruits, vegetables) was not associated with incident hypertension in a fully adjusted model. The association between the Modern dietary pattern and hypertension was attenuated by BMI.

Conclusions: Modern dietary pattern was positively associated with hypertension among Thai adults. BMI had a great impact on the relationship between the Modern dietary pattern and incidence of hypertension. Reduction of Modern diets would be expected to prevent and control hypertension. Such a strategy would be worth testing."
16,High-Intensity Interval Training Decreases Muscle Sympathetic Nerve Activity in Men With Essential Hypertension and in Normotensive Controls,2020 Aug 18;14:841.,Front Neurosci,Thomas Svare Ehlers,https://doi.org/10.3389/fnins.2020.00841,"Exercise training is a cornerstone in reducing blood pressure (BP) and muscle sympathetic nerve activity (MSNA) in individuals with essential hypertension. High-intensity interval training (HIIT) has been shown to be a time efficient alternative to classical continuous training in lowering BP in essential hypertension, but the effect of HIIT on MSNA levels has never been investigated. Leg MSNA responsiveness to 6 weeks of HIIT was examined in 14 hypertensive men (HYP; age: 62 ?? 7 years, night time BP: 136 ?? 12/83 ?? 8 mmHg, BMI: 28 ?? 3 kg/m2), and 10 age-matched normotensive controls (NORM; age: 60 ?? 8 years, night time BP: 116 ?? 2/68 ?? 4 mmHg and BMI: 27 ?? 3 kg/m2). Before training, MSNA levels were not different between HYP and NORM (burst frequency (BF): 41.0 ?? 10.3 vs. 33.6 ?? 10.6 bursts/min and burst incidence (BI): 67.5 ?? 19.7 vs. 64.2 ?? 17.0 bursts/100 heart beats, respectively). BF decreased (P < 0.05) with training by 13 and 5% in HYP and NORM, respectively, whereas BI decreased by 7% in NORM only, with no difference between groups. Training lowered (P < 0.05) night-time mean arterial- and diastolic BP in HYP only (100 ?? 8 vs. 97 ?? 5, and 82 ?? 6 vs. 79 ?? 5 mmHg, respectively). 

The change in HYP was greater (P < 0.05) compared to NORM. Training reduced (P < 0.05) body mass, visceral fat mass, and fat percentage similarly within- and between groups, with no change in fat free mass. Training increased (P < 0.05) V??O2-max in NORM only. Six weeks of HIIT lowered resting MSNA levels in age-matched hyper- and normotensive men, which was paralleled by a significant reduction in BP in the hypertensive men."
17,"Prevalence and risk factors of obesity, hypertension, dyslipidemia and diabetes mellitus before and after adult living donor liver transplantation",2015 Jul;45(7):764-70.,Hepatol Res,Yasuyuki Hara,https://doi.org/10.1111/hepr.12418,"Aim: The development of metabolic abnormalities after liver transplantation (LTx) contributes to cardiovascular events and mortality. We analyzed the prevalence and risk factors of obesity, hypertension, dyslipidemia and diabetes mellitus (DM) after adult living donor liver transplantation.

Methods: Fifty-four adult recipients with a minimum follow up of 6 months receiving living donor liver transplantation between 2001 and 2012 at the Tohoku University Hospital were retrospectively analyzed.

Results: The prevalence of hypertension increased from 18.5% before transplantation to 35.2% post-transplantation, and new-onset hypertension after transplantation was 57.9% of post-transplant hypertension. Univariate analysis showed that risk factors of post-transplant hypertension were age (>50 years, P = 0.0023), pretransplant body mass index (BMI) of 25 or more (P = 0.0123), pretransplant hypertension (P = 0.0012) and cyclosporin A (61.5% vs tacrolimus 25.0%, P = 0.0248). The incidence of obesity, dyslipidemia and DM did not change from before to after transplantation. LTx was curative in 77.8% of cases of pretransplant dyslipidemia and 20% of cases of pretransplant DM. Primary biliary cirrhosis cases comprised 85.7% of cases of pretransplant dyslipidemia that were cured by LTx. In univariate analysis, pretransplant BMI of 25 or more was the only risk factor of post-transplant dyslipidemia (P = 0.0098). The incidence of new-onset DM after transplantation was 20%. Risk factors of post-transplant DM were male sex (P = 0.0156), pretransplant DM (P < 0.0001), alcohol abuse (P = 0.0248) and mycophenolate mofetil (P = 0.0181) by univariate analysis.

Conclusion: The prevalence of hypertension increased after LTx and pretransplant obesity was associated with several post-transplant metabolic abnormalities."
18,"Time trend in hypertension prevalence, awareness, treatment, and control in a contemporary cohort of HIV-infected patients: the HIV and Hypertension Study",2017 Feb;35(2):409-416.,J Hypertens,Giuseppe Vittorio De Socio,https://doi.org/10.1097/hjh.0000000000001150,"Background: Hypertension control is often inadequate in HIV patients. In a contemporary, nationwide cohort of Italian HIV-infected adults, we assessed time trends in hypertension prevalence, awareness, treatment, and control. We also evaluated predictors of cardiovascular events and of new-onset hypertension.

Methods: Multicenter prospective cohort study, sampling 961 consecutive HIV patients (71% men, mean age 46 ?? 9 years, 30% hypertensive) examined in 2010-2014 and after a median follow-up of 3.4 years.

Results: Among hypertensive patients, hypertension awareness (63% at baseline and 92% at follow-up), treatment (54 vs. 79%), and control (35 vs. 59%) all improved during follow-up. The incidence of new-onset hypertension was 50.1/1000 person-years (95% confidence interval, 41.2-60.3). Multivariable-adjusted predictors of hypertension were age, BMI, estimated cardiovascular risk, blood pressure, and advanced HIV clinical stage.In total, 35 new cardiovascular events were reported during follow-up (11.1/1000 person-years). In a multivariate model, baseline cardiovascular risk and hypertensive status predicted incident cardiovascular events, whereas a higher CD4 cell count had a protective role. In treated hypertensive patients, the use of integrase strand transfer inhibitors at follow-up was associated with a lower SBP (average yearly change, -3.8 ?? 1.6 vs. -0.9 ?? 0.5 mmHg in integrase strand transfer inhibitor users vs. nonusers, respectively, P = 0.02).

Conclusion: Hypertension awareness, treatment, and control rates all improved in adult Italian HIV patients over the last few years, although hypertension remains highly prevalent (41%) in middle-aged HIV patients, and significantly impacts cardiovascular morbidity. Traditional risk factors and advanced HIV disease predict new-onset hypertension, whereas CD4 cell count favorably affects future cardiovascular events."
19,Correlation between changes in inflammatory cytokines and the combination with hypertension in patients with type 2 diabetes mellitus,2019 Sep;44(3):252-258.,Minerva Endocrinol,Qinghua He,https://doi.org/10.23736/s0391-1977.18.02822-5,"Background: We aimed to analyze the relationship between the combination with hypertension and the level of inflammatory cytokines in peripheral serum in patients with type 2 diabetes mellitus (DM), and to explore the value of inflammatory cytokines in predicting type 2 DM combined with hypertension.

Methods: A total of 120 patients diagnosed with type 2 DM in our hospital from March 2014 to September 2016 were selected. The clinical data were retrospectively analyzed. These patients were divided into the combination with hypertension group (N.=56) and the non-combination with hypertension group (N.=64), including 75 males and 45 females.

Results: Duration of DM, fasting plasma glucose (FPG), glycosylated hemoglobin A1c (HbA1c) and also levels of inflammatory cytokines (hs-CRP, TNF-?? and IL-6) in the combination with hypertension group were all significantly higher than those in the non-combination with hypertension group (P<0.05). The incidence rate of hypertension in patients with high-level hs-CRP, high-level TNF-?? and high-level IL-6 were significantly higher than that in patients with normal levels (P<0.05). Type 2 DM patients with high-level inflammatory cytokines had significantly longer duration of DM, and higher FPG and HbA1c values than those with normal levels (P<0.05). Results also showed that hs-CRP, TNF-?? and IL-6 were positively correlated with FPG, HbA1c and the hypertension grade, and FPG and HbA1c were also positively correlated with the hypertension grade.Logistic regression analysis revealed that hs-CRP, TNF-??, IL-6, the duration of DM, BMI, FPG, HbA1c, TC and LDL had independent values in predicting Type 2 DM combined with hypertension (P<0.05).

Conclusions: Levels of serum hs-CRP, TNF-?? and IL-6 are significantly elevated in patients with type 2 DM combined with essential hypertension, which are important factors affecting changes in blood glucose. The higher the level of inflammatory cytokines is, the higher the grade of hypertension will be."
20,Comparison of the Suitability of 2 Years Change in Waist Circumference and Body Mass Index in Predicting Hypertension Risk: A Prospective Study in Chinese-Han,2014 Sep;43(9):1212-20.,Iran J Public Health,Wenshu Luo,http://www.ncbi.nlm.nih.gov/pmc/articles/pmc4500423/,"Background: Currently, obesity has become a worldwide health problem and yet little is known about the impact of changes in obesity indicator on incident hypertension. The aim of this study was to compare the impact of changes in the WC and BMI on incident hypertension in a cohort population.

Methods: After a baseline investigation, we conducted the first and the second follow-up assessments for subjects after 2 and 5 years, respectively. The associations between the changes in the WC and BMI (measured as the D-value, i.e., the value at the first follow-up minus the value at baseline) and the hazard ratio (HR) of incident hypertension were analyzed with a multilevel Cox proportional hazards regression model.

Results: Among 2778 participants without hypertension, 660 developed hypertension between the first and the second follow-up assessments. When both the BMI and WC D-values were included in the regression model, the WC D-value was a predictor of hypertension incidence in both sexes (OR= 1.03 and P values < 0.05 for men and women), but the BMI D-value was no longer a predictor of hypertension incidence in either sex (OR=1.04 for men and 1.01 for women, both P values >0.05). In both sexes, hypertension risk was higher for subjects whose BMI was modified but WC was categorically increasing than for subjects whose WC and BMI were both modified.

Conclusions: Both WC and BMI changes were associated with hypertension, but a change in the WC was a better predictor of the hypertension."
21,Associations of short-term weight changes and weight cycling with incidence of essential hypertension in the EPIC-Potsdam Study,2005 Jan;19(1):61-7.,J Hum Hypertens,M Schulz,https://doi.org/10.1038/sj.jhh.1001776,"The aim of this study was to examine the relationships of short-term weight gain, weight loss, and weight cycling on the odds of developing hypertension. Normotensive middle-aged German men and women (n=12,362) of the European Prospective Investigation into Cancer and Nutrition-Potsdam Study were assigned to categories of 2-year short-term weight changes that were self-reported to have occurred prior to recruitment into the study (gain only, loss only, weight cycling, stable). 
After 2 years of follow-up after recruitment, 180 cases of incident essential hypertension were identified. In logistic regression models, odds ratios were estimated for the associations between short-term weight changes and risk of developing hypertension. Obesity status (BMI>or=30 or BMI<30 kg/m2) modified the associations between short-term weight change and incidence of diagnosed hypertension. Among obese individuals, short-term weight gain occurring during the 2 years prior to recruitment (OR=2.79, 95% CI 1.19-6.56), weight loss (OR=6.74, 95% CI 2.58-17.6) and weight cycling (OR=4.29, 95% CI 1.55-11.9) were strongly positively associated with incident hypertension, adjusted for age and gender, compared to obese individuals with short-term stable weight. No significant associations between short-term weight changes and risk of diagnosed hypertension were detected among non-obese individuals. Short-term weight changes appeared to present strong risk factors for developing hypertension among obese individuals. The effect seen for weight cycling supports the hypothesis that weight cycling increases the risk of hypertension. The finding for short-term weight loss may be explained by subsequent weight regain and needs further investigation."
22,N-glycosylation of immunoglobulin G predicts incident hypertension,2021 Dec 1;39(12):2527-2533.,J Hypertens,Domagoj Kifer,https://doi.org/10.1097/hjh.0000000000002963,"Objectives: Glycosylation of immunoglobulin G (IgG) is an important regulator of the immune system and has been implicated in prevalent hypertension. The aim of this study is to investigate whether the IgG glycome begins to change prior to hypertension diagnosis by analysing the IgG glycome composition in a large population-based female cohort with two independent replication samples.

Methods: We included 989 unrelated cases with incident hypertension and 1628 controls from the TwinsUK cohort (mean follow-up time of 6.3 years) with IgG measured at baseline by ultra-performance liquid chromatography and longitudinal BP measurement available. We replicated our findings in 106 individuals from the 10 001 Dalmatians and 729 from KORA S4. Cox regression mixed models were applied to identify changes in glycan traits preincident hypertension, after adjusting for age, mean arterial pressure, BMI, family relatedness and multiple testing (FDR < 0.1). Significant IgG-incident hypertension associations were replicated in the two independent cohorts by leveraging Cox regression mixed models in the 10 001 Dalmatians and logistic regression models in the KORA cohort.

Results: We identified and replicated four glycan traits, incidence of bisecting GlcNAc, GP4, GP9 and GP21, that are predictive of incident hypertension after adjusting for confoundes and multiple testing [hazard ratio (95% CI) ranging from 0.45 (0.24-0.84) for GP21 to 2.9 (1.5-5.68) for GP4]. We then linearly combined the four replicated glycans and found that the glycan score correlated with incident hypertension, SBP and DBP.

Conclusion: Our results suggest that the IgG glycome changes prior to the development of hypertension."
23,Presence and progression of abdominal obesity are predictors of future high blood pressure and hypertension,2006 Aug;19(8):788-95.,Am J Hypertens,Shao-Yuan Chuang,https://doi.org/10.1016/j.amjhyper.2006.01.010,"Background: General obesity and its progression are major predictors of future hypertension. It has not been established whether abdominal obesity contributes to the development of hypertension.
Methods: A community-based study population of 2377 normotensive nondiabetic Chinese adults aged >or=30 years were re-examined 10 years after their baseline examination.
Results: The 10-year cumulative incidence of hypertension was 25.9%. The standardized parameters for the prediction of follow-up systolic blood pressure (BP) for baseline body mass index (BMI), change in BMI, baseline homeostasis model assessment of insulin resistance (HOMA-IR), change in HOMA-IR, baseline waist circumference (WC), and change in WC were 0.19 (P < .001), 0.09 (P < .001), 0.11 (P < .001), 0.08 (P < .001), 0.16 (P < .001), and 0.07 (P < .001), respectively, when age, sex, and baseline systolic BP were accounted for. By stepwise linear regression analysis, age, baseline systolic BP, baseline BMI, change in BMI, baseline WC, and change in WC were significant predictors of the follow-up systolic BP. Both baseline WC and change in WC were significant predictors of follow-up systolic BP or incident hypertension when age, sex, baseline systolic BP, BMI, and change in BMI were accounted for. In a subgroup of younger adults with normal BMI and BP<130/85 mm Hg, baseline systolic BP, change in HOMA-IR, baseline WC, and change in WC were significantly independent predictors of follow-up systolic BP.
Conclusion: Abdominal obesity and its progression are predictors of future BP and hypertension incidence, independent of the effects of general obesity."
24,[Impact of dynamic change of waist circumference or body mass index in hypertension incidence],2011 Nov;45(11):1012-6.,Zhonghua Yu Fang Yi Xue Za Zhi,Wen-shu Luo,,"Objective: To study the impact of dynamic change of waist circumference (WC) and body mass index(BMI) in two years on hypertension incidence in cohort populations.
Methods: A perspective cohort study was conducted. The participants (5888 subjects) whose follow-time were 2 years or longer from the program Prevention of multiple metabolic disorders and metabolic syndrome (MS) in Jiangsu province were investigated. Amongst 5888 subjects, 4582 participants received the first follow-up investigation in January 2002. Among 4582 subjects who received first follow-up investigation and whose follow-time met 5 years, total 3847 participants received the second follow-up investigation in March 2006. Total 2778 free hypertension subjects were included in this analysis. Subjects with normal WC or BMI at baseline but abnormal WC or BMI at the first follow-up or subjects with abnormal WC or BMI both at baseline and the first follow-up were defined as non-control group. Subjects with abnormal WC or BMI at baseline but normal WC or BMI at the first follow-up or subjects with normal WC or BMI both at baseline and the first follow-up were defined as control group. The incidence of hypertension at second follow-up investigation was defined as the final variable(hypertension = 1, non-hypertension = 0). The association between dynamic change of WC or BMI and incident hypertension was analyzed by using Cox proportional hazards regression model. The OR, RR value and 95%CI were calculated through WC and BMI risk stratification.

Results: Among 2778 participants without hypertension at baseline, 660 subjects developed hypertension. When both BMI difference value (D-value) and WC D-value were included in the regression model, WC D-value was associated with hypertension in both genders (males: OR = 1.04, 95%CI: 1.01 - 1.05; females: OR = 1.04, 95%CI: 1.02 - 1.06), but BMI D-value was not associated with hypertension in both men and women (males: OR = 1.04, 95%CI: 0.97 - 1.11; females: OR = 0.98, 95%CI: 0.93 - 1.03). Hypertension risk of WC non-control group was higher than that in WC control group in baseline normal and abnormal WC groups (normal baseline WC group: RR = 1.41, 95%CI: 1.01 - 2.39, abnormal baseline WC group: RR = 4.41, 95%CI: 1.66 - 9.80). But in baseline abnormal BMI group, there was no significant difference between BMI control and non-control group (RR = 1.33, 95%CI: 0.88 - 2.02). Whether BMI was controlled can not influence hypertension risk if WC was controlled (males: RR = 1.03, 95%CI: 0.36 - 2.96; females: RR = 1.02, 95%CI: 0.70 - 5.85), however, control WC could reduce hypertension risk obviously even though BMI was not controlled (males: RR = 4.03, 95%CI: 1.61 - 10.09; females: RR = 1.55, 95%CI: 1.13 - 3.60).
Conclusion: Both WC and BMI dynamic change were associated with change of hypertension. But reducing WC can decrease hypertension risk more than reducing BMI."
25,Biomarkers of inflammation and endothelial dysfunction as predictors of pulse pressure and incident hypertension in type 1 diabetes: a 20 year life-course study in an inception cohort,2018 Jan;61(1):231-241.,Diabetologia,Isabel Ferreira,https://doi.org/10.1007/s00125-017-4470-5,"Aims/hypothesis: Vascular inflammation and endothelial dysfunction are thought to contribute to arterial stiffening and hypertension. This study aims to test this hypothesis with longitudinal data in the context of type 1 diabetes.

Methods: We investigated, in an inception cohort of 277 individuals with type 1 diabetes, the course, tracking and temporal inter-relationships of BP, specifically pulse pressure (a marker of arterial stiffening) and hypertension, and the following biomarkers of systemic and vascular inflammation/endothelial dysfunction: C-reactive protein (CRP), soluble intracellular adhesion molecule-1 (sICAM-1), soluble vascular cellular adhesion molecule-1 (sVCAM-1) and soluble E-selectin (sE-selectin). These biomarkers and other risk factors were measured at baseline and repeatedly up to 20 years after the onset of type 1 diabetes. Data were analysed with generalised estimating equations including adjustments for age, sex, smoking status, BMI, HbA1c, serum creatinine, total cholesterol, urinary AER, insulin treatment dose and mean arterial pressure.

Results: Increases were noted in all biomarkers except sE-selectin, which decreased over time. Levels differed from baseline at 2-4 years and preceded the increase in pulse pressure, which occurred at 8-10 years after the onset of type 1 diabetes. Higher levels of sICAM-1 and sVCAM-1, but not CRP or sE-selectin, at baseline and throughout the 20 year follow-up, were significantly associated with higher (changes in) pulse pressure at subsequent time points. Higher levels of sVCAM-1 at baseline and during follow-up were also significantly associated with the prevalence (OR 3.60 [95% CI 1.36, 9.53] and OR 2.28 [1.03, 5.25], respectively) and incidence (OR 2.89 [1.08, 7.75] and OR 3.06 [1.01, 9.26], respectively) of hypertension. We also investigated the longitudinal associations between BP or hypertension as determinants of subsequent (changes in) levels of CRP, sICAM-1, sVCAM-1 and sE-selectin, but did not find evidence to support a reverse causality hypothesis.

Conclusions/interpretation: These findings support the involvement of vascular endothelial dysfunction and inflammation in the development of premature arterial stiffening and hypertension in type 1 diabetes."
