,Unnamed: 0,title,year,journal,authors,links,abstract
10,10,Neonatal skin care: Developments in care to maintain neonatal barrier function and prevention of diaper dermatitis,2019,Pediatr Dermatol,Oliver Burdall,https://doi.org/10.1111/pde.13714,"Background: Understanding the importance of the barrier function of the skin of preterm and term neonates is crucial in effective neonatal skin and diaper care. This literature search aimed to review the development of different practices in neonatal care to maintain skin barrier function, in turn preventing diaper dermatitis.
Methods: We performed two quantitative literature searches of English language studies: an initial literature search of studies published in the last 5 years was conducted using Cinahl, Medline, Embase, British Nursing Index, and DelphiS, followed by a second search of publications from 1990 to 2017 using the National Institute of Clinical Excellence Health Databases Advanced Search using key words, synonyms, and Boolean phrasing. Titles and abstracts were reviewed for relevance.
Results: One hundred ten studies were analyzed for the purpose of this review; however, data are of variable quality. Guidance can be drawn from the existing literature relating to best practice options for diaper area cleansing methods, diaper type selection, and use of barrier creams. More research is required into the benefit or otherwise of diaper-free time.
Conclusions: Super-absorbent diapers reduce moisture at skin level and reduce diaper dermatitis. Barrier creams carry benefit both in prevention and cure but do not provide a substitute for frequent diaper changes. The literature does not demonstrate superiority of one cleansing method over another, but neither the use of wipes nor water increases diaper dermatitis prevalence. Further studies are required to explore the potential benefit of diaper-free time, taking due consideration of the practicalities, particularly for vulnerable neonates within the Intensive Care setting."
11,11,Diagnosis and management of diaper dermatitis in infants with emphasis on skin microbiota in the diaper area,2018,Int J Dermatol,Maja Šikić Pogačar,https://doi.org/10.1111/ijd.13748,"Diaper dermatitis is the most common inflammatory skin eruption within the diaper area in infants and toddlers. Although it rarely causes problems for prolonged periods of time, it causes considerable distress for both infants and parents. Diapered skin is exposed to friction, excessive hydration, varying pH, and is in constant contact with urine and feces, both of which are highly irritant to the skin. The three most common types of diaper dermatitis include chaffing dermatitis, irritant contact dermatitis, and diaper candidiasis. However, a variety of other skin conditions may manifest in the diaper area. Candida albicans and Staphylococcus aureus are most frequently isolated from the affected area and are thought to have a predominant role in diaper dermatitis. The review includes an overview of the epidemiology, etiology, and common skin microbiota in the diaper area. State-of-the-art strategies for diagnosis, management, and prevention of diaper dermatitis are also included. Appropriate skin care can help in the prevention of diaper dermatitis and can aid the reparation of the skin. This review discusses common causes, skin microbiota within the diapered area, differential diagnosis, and finally possible prevention and treatment recommendations. Recent findings have proven that the key to efficient eradication of irritant diaper dermatitis lies in its prevention."
12,12,[Development of a Breathable Protective Ointment for Moisture-associated Skin Damage],2019,Yakugaku Zasshi,Yasunori Miyazaki,https://doi.org/10.1248/yakushi.19-00121-3,"In this symposium, we present a novel breathable protective ointment (BPO) formulation developed at the University of Shizuoka for the prevention of moisture-associated skin damage (MASD) intended for use in healthcare settings. MASD occurs when moisture is in constant contact with the skin for prolonged periods of time, causing degradation of the skin barrier. Exposure to physical or chemical stimuli in addition to moisture may lead to different types of moisture-associated dermatitis such as incontinence-associated or periwound dermatitis. Another type of moisture-associated dermatitis, diaper dermatitis, is treated with protective ointments such as white petrolatum and zinc ointment. These ointments protect the skin from irritants but also block insensible dermal perspiration, which promotes further skin maceration. Therefore, we have developed a BPO formulation from white petrolatum and calcium carbonate, which serve as a protectant and pore-forming agent, respectively. In vitro water-proof tests confirmed the skin-protective properties of the BPO, and moisture-permeation tests indicated its breathability. Moreover, the BPO protected the skin from irritants without the loss of skin hydration in rats. Our next step involves the trial of BPO in infants with diaper dermatitis. In the future, this BPO could be used as an ointment base for active pharmaceutical ingredients used to prevent MASD."
13,13,Examining Prevalence and Risk Factors of Incontinence-Associated Dermatitis Using the International Pressure Ulcer Prevalence Survey,2019,J Wound Ostomy Continence Nurs,Susan A Kayser,https://doi.org/10.1097/won.0000000000000548,"Purpose: To evaluate prevalence and risk factors of incontinence-associated dermatitis (IAD).
Design: Retrospective analysis of 2016 International Pressure Ulcer Prevalence survey data.
Subjects and setting: Adult patients who were in acute care, long-term acute care, long-term care, and rehabilitation facilities in the United States and Canada.
Methods: IAD prevalence was calculated among all patients surveyed, among the incontinent patients only, across multiple care settings, and by incontinence type. A logistic regression examined risk factors for IAD in the incontinent population.
Results: Nearly 1 in 5 incontinent patients had IAD documented. Incontinence-associated dermatitis prevalence in the entire patient population was 4.3% while incontinence prevalence was 18%. Of incontinent patients, prevalence of IAD ranged from 8.4% in long-term care facilities to 19% in acute care facilities. Facilities with higher rates of incontinence did not necessarily have higher prevalence of IAD. Incontinence-associated dermatitis prevalence by incontinence type ranged from 12% for patients with urinary incontinence to 26% for patients with fecal management systems. Regression results support the association of the following factors with an increased likelihood of IAD documented: all types of incontinence, fecal management systems, higher body weight, diminished mobility, additional linen layers, longer length of stay, and lower Braden Scale scores.
Conclusions: Incontinence-associated dermatitis remains a concern in acute care settings. Risk factors associated with IAD were similar to risk factors previously reported for hospital-acquired pressure injuries, such as limited mobility, longer lengths of stay, and additional linen layers. By consistently documenting IAD as well as pressure injury prevalence, facilities may benchmark overall skin prevention models."
14,14,[Decubitus or incontinence-associated dermatitis?],2014,Ned Tijdschr Geneeskd,Ronald H Houwing,,"A lack of understanding about the distinction between incontinence-associated dermatitis and pressure sores leads to inadequate treatment and therefore a higher incidence of pressure sores. Pressure relief may not be adequately carried out due to concentration exclusively on treatment of incontinence. In this article we will discuss the multifactorial approach, based on 2 patient cases. In order to prevent pressure sores, the cause of incontinence has to be investigated and treated if possible. Appropriate pressure relief must be carried out, in addition to adequate skin care."
15,15,Do Intra-anal Bowel Management Devices Reduce Incontinence-Associated Dermatitis and/or Pressure Injuries?,2017,J Wound Ostomy Continence Nurs,Terrie Beeson,https://doi.org/10.1097/won.0000000000000381,"Purpose: The purpose of this article was to examine the evidence and provide recommendations related to the effectiveness of intra-anal bowel management systems including intra-anal bowel catheters and rectal trumpets in reducing incontinence-associated dermatitis and pressure injuries.
Question: Does the use of an intra-anal bowel management system (intra-anal bowel catheter or rectal trumpet) reduce incontinence-associated skin damage and/or hospital-acquired pressure injuries in the acute care adult patient population?
Search strategy: A search of the literature was performed by a trained university librarian, which resulted in 133 articles that examined intra-anal bowel management systems (intra-anal bowel catheter and rectal trumpet), incontinence-associated dermatitis, and pressure injuries. A systematic approach was used to review titles, abstracts, and text yielding 6 studies that met inclusion criteria. Strength of the evidence was rated using rating methodology from Essential Evidence Plus: Levels of evidence and Oxford Center for Evidence-based Medicine, adapted by Gray and colleagues.
Findings: Five of the 6 studies reported positive results concerning the effectiveness of intra-anal bowel management systems to reduce incontinence-associated dermatitis and/or pressure injuries. One randomized control trial found no improvement in incontinence-associated dermatitis in the intra-anal bowel management system (intra-anal bowel catheter or rectal trumpet) groups or pressure injuries as compared to usual care. The strength of the evidence for the identified studies was moderate (2 level A, 3 level B, and 1 level C). An important finding in 2 of the studies was the safety of the intra-anal bowel management systems-both intra-anal bowel catheter and rectal trumpet.
Conclusion/recommendation: Evidence indicates intra-anal bowel management system (intra-anal bowel catheters and rectal trumpet) provides a viable option for fecal incontinence management and these devices reduce incontinence-associated dermatitis and/or pressure injuries."
16,16,Common Skin Conditions in Children: Neonatal Skin Lesions,2017,FP Essent,Brian Z Rayala,,"Skin findings during the initial month of life are ubiquitous. One study estimated that more than 95% of newborns have cutaneous findings, which often are distressing to parents but frequently are benign and self-limited. Among them are milia, cutis marmorata, congenital dermal melanocytosis, and the benign neonatal pustular eruptions (eg, benign cephalic pustulosis, erythema toxicum neonatorum, transient neonatal pustular melanosis). Clinicians need to recognize these benign skin conditions and differentiate them from more serious conditions, such as infectious pustular eruptions from bacterial, viral, and fungal causes, and inflammatory conditions, such as Langerhans cell histiocytosis. Notable bacterial pustular eruptions are bullous impetigo and congenital syphilis. Viral pustular dermatoses include neonatal herpes simplex virus infection and varicella zoster virus infection, which consists of congenital varicella syndrome, perinatal varicella, and infantile zoster. Fungal pustular eruptions include congenital and neonatal candidiasis. Seborrheic dermatitis is a self-limited condition that occurs with varying severity; symptomatic treatment is reserved for the more severe forms. Diaper dermatitis encompasses a broad clinical diagnosis, including allergic and irritant contact dermatitis, atopic dermatitis, infections, psoriasis, and other dermatologic conditions. Critical components of newborn skin care are immersion bathing, umbilical cord care, and use of emollients to augment skin barrier function."
17,17,Effects of Zinc Supplementation on Inflammatory Skin Diseases: A Systematic Review of the Clinical Evidence,2020,Am J Clin Dermatol,Simran Dhaliwal,https://doi.org/10.1007/s40257-019-00484-0,"Background: Zinc has been used in patients with acne vulgaris for its anti-inflammatory effects; however, it is unclear if zinc supplementation is also beneficial in other inflammatory skin conditions.
Objective: The objective of this article was to determine the effect of zinc supplementation on inflammatory dermatologic conditions.
Data sources: We searched the Cochrane Central Register of Controlled Trials, EMBASE, MEDLINE, and Ovid with no time limit up to 29 May, 2019. Trials examining supplementation with zinc in the treatment of inflammatory dermatological conditions (acne vulgaris, atopic dermatitis, diaper dermatitis, hidradenitis suppurativa, psoriasis, and rosacea) in children and adults were selected.
Results: Of 229 articles, 22 met inclusion criteria. Supplementation with zinc was found to be beneficial in ten of 14 studies evaluating its effects on acne vulgaris, one of two studies on atopic dermatitis, one of one study on diaper dermatitis, and three of three studies evaluating its effects on hidradenitis suppurativa. However, the one article found on psoriasis and the one article found on rosacea showed no significant benefit of zinc treatment on disease outcome.
Conclusions and implications: Some preliminary evidence supports the use of zinc in the treatment of acne vulgaris and hidradenitis suppurativa; however, more research is needed with similar methodologies and larger sample sizes in these diseases. Further, zinc may be of some benefit in the treatment plan for atopic dermatitis and diaper dermatitis; however, additional studies should be conducted to further evaluate these potentially positive associations. To date, no evidence is available to suggest that zinc may be of benefit in rosacea and psoriasis; however, limited data are available evaluating the use of zinc in these conditions."
18,18,[Incontinence-associated dermatitis: a position paper],2020,Hautarzt,J Kottner,https://doi.org/10.1007/s00105-019-04480-7,"Incontinence-associated dermatitis (IAD) describes damage to the skin caused by repeated and prolonged contact with urine and/or feces. Patients of all ages can be affected; the diagnosis is preferably used in adults and adolescents. The predilection sites are perineal, perianal, the inner thighs and the convex areas of the buttocks. Increased moisture on the skin surface, increased pH, occlusion, feces digestive enzymes and repeated skin cleansing procedures are pathophysiologically relevant factors. Typical clinical signs of IAD are erythema, erosions, excoriations and pain. Diagnosis is often difficult because there are many relevant differential diagnoses, some of which may occur together with an IAD. In particular, pressure ulcer, contact dermatitis and intertrigo need to be differentiated and treated. Effective strategies of prevention and therapy of IAD are continence management, the use of efficient, absorbent products as well as consistent skin protection and care. IAD is a skin disease that is often not or incorrectly diagnosed. It should be treated as early as possible, together with the causative factors such a fecal and/or urinary incontinence, as otherwise it can lead to an unnecessarily long duration and severity of the symptoms."
19,19,Diaper Dermatitis,2021,Pediatr Rev,Lauren E Helms,https://doi.org/10.1542/pir.2020-0128,
20,20,"[Local barrier creams for skin care in newborns, infants and toddlers with incontinence-associated dermatitis (IAD) – Narrative Review]",2017,Pflege,Sibylle Reick,https://doi.org/10.1024/1012-5302/a000522,"Background: The incontinence-associated dermatitis (IAD) is a common condition in newborns, infants and toddlers. For the therapy nurses and parents have the choice between numerous barrier creams based on zinc oxide, Dexpanthenol or Vaseline in various combinations of active agents and with additional ingredients. Research question: Which combination of active ingredients in local barrier creams reduce pain, severity of or duration of healing in IAD in neonates, infants and young children? Method: MEDLINE and CINAHL was systematically search for randomized controlled trials on the effect of barrier creams in pediatric patients with IAD. These were evaluated on validity and applicability. Results: 15 RCTs were found, of which six were included in the systematic review. The methodological quality of these trials ranges from good to poor, partially high bias risk were recognizable. Barrier creams containing the active ingredients zinc oxide / lanolin, zinc oxide / cod liver oil, zinc oxide / Dexpanthenol, paraffin / beeswax / Dexpanthenol show effects. They reduce the IAD-associated symptoms. Conclusions: The investigated barrier creams can be used in the pediatric nursing for the treatment of IAD. Because of limitations it cannot be ruled out that further studies will change the results."
21,21,Effects of a Skin Barrier Cream on Management of Incontinence-Associated Dermatitis in Older Women: A Cluster Randomized Controlled Trial,2017,J Wound Ostomy Continence Nurs,Yuka Kon,https://doi.org/10.1097/won.0000000000000353,"Purpose: The purpose of this study was to examine the effects of a skin barrier cream with moisturization and skin-protectant characteristics for improving the severity of incontinence-associated dermatitis (IAD) pertaining to the skin physiology and appearance. We measured the following outcomes: (1) skin physiological characteristics indicating skin protection and enhancement of the skin's moisture barrier (stratum corneum hydration, dermis hydration level, transepidermal water loss, and skin pH); and (2) changes in skin appearance (the degree of erythema and pigmentation, and the sulcus cutis condition).
Design: Single-blind, cluster randomized controlled trial.
Subjects and setting: The study was conducted in a long-term care facility in Japan between November 7, 2011, and May 6, 2012. We used block randomization to obtain a random sample of 6 (4 experimental and 2 control) out of 10 available wards. All subjects were elderly women with IAD of the buttock or inner thigh. We assessed 295 patients, but only 33 met inclusion criteria; 18 were allocated to the experimental group and 15 were allocated to the control group.
Methods: All participants were managed with cleansing with a skin cleanser and application of a moisturizer daily. In addition, a skin barrier cream designed to enhance the skin's moisture barrier and act as a protective barrier was applied to the skin of patients in the experimental group 3 times a day when absorptive briefs were changed. Skin physiological and appearance characteristics were scored only at the buttock or thigh area. All data were collected on days 1 and 14 of the study.
Results: Univariate analysis found that the erythema index was lower in the intervention group than in the control group at day 14 (P = .004). Multivariate analysis found significant associations between use of the skin barrier cream and increased stratum corneum hydration (β= .443, P = .031), decreased skin pH (β=-.439, P = .020), and magnitude of erythema (β=-.451, P = .018).
Conclusions: Study findings suggest that a barrier cream designed to enhance the skin's moisture barrier and act as a skin protectant increased stratum corneum hydration, reduced cutaneous pH, and reduced erythema."
22,22,Neonatal skin care: a concise review,2013,Int J Dermatol,Molly J Ness,https://doi.org/10.1111/j.1365-4632.2012.05687.x,"Skin care practices play an important role in the health of well newborns and hospitalized neonates. Fortunately, for many aspects of neonatal skin care, there exist evidence- or consensus-based recommendations to guide best practices. Based on our review of the recent medical literature, we include in this manuscript the current recommendations regarding neonatal skin cleansing and antisepsis; umbilical cord care; use of emollients; and prevention of diaper dermatitis. In addition, we review the recommended practices for preventing and treating pressure ulcers, wounds, and other skin injuries in hospitalized neonates."
23,23,Diaper Dermatitis: Prevalence and Associated Factors in 2 University Daycare Centers,2020,J Prim Care Community Health,Porntipa Suebsarakam,https://doi.org/10.1177/2150132719898924,"Purpose: Diaper dermatitis is uncommon in children older than 2 years because the majority of these children are diaper independent. However, diaper dermatitis still occurs, especially in children in daycare settings. This study attempted to determine the prevalence of diaper dermatitis and its associated factors among children aged 2 to 4 years attending daycare centers. Cross-sectional analysis and tests for correlation were conducted to determine the factors associated with diaper dermatitis among the study population. Results: The prevalence of diaper dermatitis during the study period was 17.2%. Factors significantly correlated with the occurrence of diaper dermatitis were beginning toilet training later than 2 years of age (odds ratio [OR] = 2.84, 95% CI = 1.17-6.86, P = .02) and the use of oral antibiotics (OR = 15.92, 95%CI = 3.57-70.94, P < .001). Conclusion: Two major adjustable factors for preventing diaper dermatitis in the study population were toilet training before 2 years of age and avoiding the use of unnecessary oral antibiotics. These results may help in devising a preventive protocol for diaper dermatitis among this age group in the future."
24,24,[Using Teamwork to Reduce the Incidence of Incontinence-Associated Dermatitis],2020,Hu Li Za Zhi,An-Ting Chen,https://doi.org/10.6224/jn.202002_67(1).11,"Background & problems: Dermatitis associated with incontinence was the cause of 55% of the total of 386 skin lesion cases in our unit between July and December 2016 and 40.3% of the skin lesion cases in our unit during March and April 2017, indicating the importance of this issue. Our survey showed that the nurses in our unit scored an average of 78.9% on knowledge related to the prevention of incontinence-associated dermatitis and only 58.2% on knowledge related to incontinence-associated dermatitis care. The main reasons for the high incidence of incontinence-associated dermatitis included: incorrect implementation of care, no discussion with the medical team, no incontinence care standards, no continue education, lack of related equipment for preventing incontinence-associated dermatitis, unit patient characteristics, and drugs used.
Purpose: To reduce the incidence of incontinence-associated dermatitis from 40.3% to 32.0%.
Resolution: A care-bundle in treating incontinence-associated dermatitis was implemented by designing an assessment flow chart for evaluating incontinence-associated dermatitis, by setting standard guidelines for incontinence-associated dermatitis care, by distributing reminder cards, special toolboxes, and by changing how the little diapers were wrapped. In-service education lessons, inter-professional collaborative practice, and regular internal audit were also executed.
Results: After project implementation, the knowledge score of nurses increased from 78.9% to 95.7%; the correctness of care score, as retested in November 2017, increased from 58.2% to 91.5%; and the incidence of incontinence-associated dermatitis dropped to 18.5%. These improvements achieved the goals of this project. Furthermore, the sustained effect of the project measures was confirmed, with the incidence of incontinence-associated dermatitis determined as 17.9% at three months after completion of the project.
Conclusions: Formulating care procedures and cooperating with medical team personnel to provide creative care measures were shown to effectively decrease the incidence of incontinence-associated dermatitis and improve overall quality of care. The findings of this project support the revision by hospitals of regulations and procedures related to adult incontinence-associated dermatitis to provide caregivers with basis-of-care standards and uniform care procedures and standards in support of effective patient skin care regimens."
25,25,Incontinence-associated dermatitis in the critically ill patient: an intensive care perspective,2018,Nurs Crit Care,Fiona Coyer,https://doi.org/10.1111/nicc.12331,"Background: Incontinence-associated dermatitis is a skin disorder evident as a complication of incontinence. It is characterized by perineal, buttock and groin erythema and skin breakdown. Incontinence-associated dermatitis is a ubiquitous, nosocomial condition commonly present in critically ill patients in the intensive care unit. Critically ill patients, by the nature of their critical illness and therapies used to treat their presenting condition, are commonly predisposed to faecal incontinence and are consequently at high risk of developing incontinence-associated dermatitis. However, this condition is under-explored and under-reported in the intensive care literature.
Objective: The aim of this paper is to provide a review of the literature relating to incontinence-associated dermatitis from the critically ill patients in the intensive care setting.
Discussion: There is a paucity of literature addressing this condition in the intensive care context, with only 11 studies identified. This paper will provide an overview of the definitions, prevalence and incidence of incontinence-associated dermatitis. Furthermore, an exposition of incontinence-associated dermatitis from the critically ill patient and intensive care nursing perspectives will be presented through a review of the skin barrier function, clinical presentation, risk factors, clinical assessment and severity categorization, prevention and management of incontinence-associated dermatitis.
Conclusion: It is imperative that critical care nurses have an appreciation of incontinence-associated dermatitis as a common, yet preventable condition, and are equipped with knowledge to appropriately prevent and manage this common complication."
