,title,journal,authors,links,abstract
30,Use of gastrografin in the management of faecal impaction in patients with severe chronic constipation: a randomized clinical trial,ANZ J Surg,Lili Gu,https://doi.org/10.1111/ans.14863,"Background/aim: Faecal impaction (FI) is a common cause of lower gastrointestinal tract obstruction. Gastrografin is a water-soluble radiologic contrast agent that may be orally or rectally administered, with proved therapeutic benefits in adhesive small bowel obstruction. Enemas have long been advocated as the best treatment for FI. The purpose of this study was to demonstrate that enteral administration of gastrografin might be more effective than enema in FI treatment inducing intestinal obstruction.
Methods: A double-blinded, controlled and randomized trial was conducted. Participants received 100 mL of gastrografin (gastrografin group) through nasointestinal tube or enemas (enema group) once daily for six consecutive days. Successful faecal disimpaction, FI time to resolution, Bristol Stool Scale, constipation severity, symptom assessment and adverse events were evaluated.
Results: A total of 124 patients were eligible, but only 83 were enrolled to this trial (mean age: 44 ± 15.8 years). Forty-two patients received enemas, and 41 patients received gastrografin, with six dropouts in each group. Successful disimpaction was achieved with enemas (69.44%) and gastrografin (88.57%; P = 0.034), mean duration of impaction was strikingly different between the two groups (67.13 versus 31.67, respectively; P < 0.01). Constipation severity and symptom assessment were significantly reduced in the gastrografin group.
Conclusion: Gastrografin given through nasointestinal tube was more effective than enema in the treatment of FI inducing colon obstruction. Gastrografin might be taken into consideration as an effective and safe therapeutic option for FI."
31,Bowel Habits and the Association With Uremic Toxins in Non-Dialysis-Dependent Chronic Kidney Disease Patients,J Ren Nutr,Christiane Ishikawa Ramos,https://doi.org/10.1053/j.jrn.2019.02.004,"Objective: The aim of this study is to evaluate the association between bowel habits and microbial-derived uremic toxins p-cresyl sulfate (PCS) and indoxyl sulfate (IS) in patients with non-dialysis-dependent chronic kidney disease (NDD-CKD).
Design and methods: This is a cross-sectional analysis including 43 nondiabetic NDD-CKD patients (58% men; 59.0 ± 13.5 years; estimated glomerular filtration rate, 21.3 ± 7.9 mL/min/1.73 m2). Bowel habit was assessed by the Bristol Stool Scale (BSS <3, characterized by hard consistency of stools and/or low frequency of evacuation and BSS ??, representing a more regular bowel habit) and by the Rome III criteria. PCS and IS (serum, free and total; urinary, total) were determined by high-performance liquid chromatography. Dietary intake was assessed by the 3-day food records.
Results: The frequency of constipation assessed by BSS and Rome III criteria was 33% (n = 14/43) and 35% (n = 15/43), respectively. The BSS <3 exhibited higher PCS, independent of renal function and dietary protein-fiber ratio (β [95% confidence interval {CI}]: serum, total PCS = 1.54 [1.06-2.23], P = .02; serum free PCS = 1.40 [1.00-1.97], P = .05; urinary PCS = 1.78 [1.10-2.90], P < .02). According to the Rome III criteria, a tendency for a higher serum total PCS (β [95% CI]: 1.39 [0.95-2.03 μmol/L], P = .09) and a significantly higher urinary PCS (β [95% CI]: 1.80 [1.11-2.94 μmol/24 h], P = .02) was found in constipated participants. No effect of a compromised bowel habit (Rome III criteria or BSS) was found on IS.
Conclusion: Constipation may lead to production of PCS in nondiabetic NDD-CKD patients."
32,[Functional constipation in the general population of Cotonou (Benin): clinical features and factors influencing dietary behaviours],Pan Afr Med J,Jean Séhonou,https://doi.org/10.11604/pamj.2019.34.210.16945,"Introduction: Constipation is rare in sub-Saharan Africa, due to the high intake of dietary fiber. The purpose of this work was to describe the different clinical features of functional constipation in the general population in Cotonou and to determine the impact of diet on its occurrence.
Methods: This study was conducted from July to August 2017. Subjects were considered affected by functional constipation when criteria for Rome IV or Bristol stool scale were completed.
Results: In total, 1058 participants were enrolled: (574 men, sex-ratio 1.2; average age 29 years). The prevalence of functional constipation was 24.2% (Rome IV) and 20.4% (Bristol stool scale). Clinical manifestations were dominated by the emission of hard or fragmented stools (90.6%), pushing efforts during defecation (78.9%), and feeling of incomplete evacuation (76.2%). Dietary habits among people affected by constipation were: at breakfast, maize meal + donut/peanuts (39.1%), lunch, corn dough (38.7%), at dinner, corn dough (57.4%), and as a snack banana (35.5%). There was no statistically significant relationship between constipation and morning meal (p=0.09), lunch meal (p=0.901), snack (p=0.09) or dinner (p=0.75) respectively.
Conclusion: The emission of hard or fragmented stools was the most common clinical manifestation among people affected by constipation living in Cotonou. Dietary habits do not influence the occurrence of functional constipation in our case series."
33,The effect of a multispecies probiotic on microbiota composition in a clinical trial of patients with diarrhea-predominant irritable bowel syndrome,Neurogastroenterol Motil,Keren Hod,https://doi.org/10.1111/nmo.13456,"Background: Although probiotics are increasingly used in irritable bowel syndrome (IBS), their mechanism of action has not been elucidated sufficiently. We aimed to evaluate the impact of a multispecies probiotic on enteric microbiota composition in women with diarrhea-predominant-IBS (IBS-D) and to determine whether these effects are associated with changes in IBS symptoms or inflammatory markers.
Methods: In a double-blind, placebo-controlled study, Rome III IBS-D women completed a two-week run-in period and eligible women were assigned at random to a probiotic capsule (BIO-25) or an indistinguishable placebo, twice daily for 8 weeks. IBS symptoms and stool consistency were rated daily by visual analogue scales and the Bristol stool scale. High sensitivity C-reactive protein, fecal calprotectin and microbial composition were tested at baseline and at 4 and 8 weeks. Microbial sequencing of the 16S rRNA was performed and data were analyzed to compare patients who responded to treatment with those who did not.
Key results: 172 IBS-D patients were recruited and 107 eligible patients were allocated to the intervention (n = 54) or placebo (n = 53) group. Compared to placebo, BIO-25 did not result in changes in microbial diversity or taxa proportions, except for higher relative proportions of Lactobacillus in the BIO-25 group (P = 0.002). Symptomatic responders to BIO-25 showed a reduction in the proportion of Bilophila(P = 0.003) posttreatment. Patients with beneficial inflammatory-marker changes had higher baseline proportions of Faecalibacterium(P = 0.03), Leuconostoc (P = 0.03), and Odoribacter (P = 0.05) compared to corresponding non-responders.
Conclusions & inferences: Identifying patients with a more amenable microbiome at treatment initiation may result in better treatment response."
34,[Update of the Rome IIII( criteria for functional constipation],Zhonghua Wei Chang Wai Ke Za Zhi,Ting Yu,,"The Rome IIII( criteria were released in May 2016. Based on the development of brain-intestinal axis theory, intestinal microecology, pharmacogenomics and social psychology, the Rome IIII( criteria revise the definition, diagnostic criteria, clinical evaluation process, and treatments of functional constipation (FC). The revisions are as follows: (1) Definition: FC and constipation-predominant irritable bowel syndrome are considered to be on a continuum rather than as independent entities. (2) Diagnostic criteria: the Bristol stool scale type 1, type 2 and spontaneous bowel movements are added in the diagnostic criteria, respectively, refining the criteria for stool consistency and frequency. (3) Clinical evaluation process: the Rome IIII( criteria specifies the clinical assessment procedure for FC. The aim is to exclude organic disease, to detect the structural changes of the combination, to determine the type of guidance therapy, and to reduce unnecessary checks to improve diagnostic efficiency. (4) Pathophysiologic mechanism: much more newly investigated mechanisms are added, including the risk factors, genetics, inadequate colonic propulsion and defecation disorder. (5) Treatment: the treatment regimen summarizes the evidence-based medical evidence of new drugs, such as secretagogues and bile acid transport inhibitors, and evaluates the safety of all the new and old drugs. Compared to the Rome III( standard, the diagnosis of FC will be more stringent and efficient, and the treatment options will be more standardized and reasonable with the Rome IIII(."
35,Importance of pancreatic exocrine dysfunction in patients with type 2 diabetes: A randomized crossover study,Pancreatology,Björn Lindkvist,https://doi.org/10.1016/j.pan.2018.05.483,"Background: Levels of faecal elastase-1 (FE-1), a marker of exocrine pancreatic function, are lower in patients with type 2 diabetes than without diabetes. We aimed to investigate the association between FE-1 and nutritional status, gastrointestinal symptoms, and lipid absorption.
Methods: This randomized, open-label, crossover study included 315 patients with type 2 diabetes aged 18-70 years treated with oral antidiabetics, with HbA1c 6.5-9.0% and BMI 18-40 kg/m2. Assessments included levels of FE-1 and blood biomarkers of nutrition, and Bristol Stool Scale and Gastrointestinal Symptom Rating Scale (GSRS) scores. Plasma exposure of docosahexaenoic acid (DHA) and eicosapentaenoic acid (EPA) after oral administration of free omega-3 carboxylic acids or ethyl esters with breakfast was investigated in patients with low, intermediate, and normal FE-1 levels.
Results: The prevalence of low and intermediate FE-1 levels was 5.2% and 4.9%, respectively. Bristol Stool Scale scores and mean values of GSRS Diarrhoea and Indigestion domain symptoms were similar across groups, but patients with low FE-1 were heavier and reported lower stool frequency. FE-1 levels correlated positively with plasma levels of amylase, lipase, 25-hydroxy vitamin D, and albumin. Mean EPA + DHA exposure was similarly higher after intake of free vs. esterified omega-3 fatty acids in all FE-1 groups.
Conclusions: The prevalence of low FE-1 (<100 μg/g) as a measure of pancreatic exocrine insufficiency was infrequent in type 2 diabetes. Except for low plasma concentrations of EPA and 25-hydroxy vitamin D, type 2 diabetes patients with low FE-1 had no other signs of malabsorption or gastrointestinal disorders. Plasma levels of EPA and DHA after the intake of esterified versus free EPA and DHA did not correlate with FE-1 levels.
Trial registration: ClinicalTrials.gov NCT02370537."
36,What is necessary to diagnose constipation?,Best Pract Res Clin Gastroenterol,Satish S C Rao,https://doi.org/10.1016/j.bpg.2010.11.001,"Constipation is a common ailment with multiple symptoms and diverse etiology. Understanding the pathophysiology is important to guide optimal management. During the past few years, there have been remarkable developments in the diagnosis of constipation and defecation disorders. Several innovative manometric, neurophysiologic, and radiologic techniques have been discovered, which have improved the accuracy of identifying the neuromuscular mechanisms of chronic constipation. These include use of digital rectal examination, Bristol stool scale, colonic scintigraphy, wireless motility capsule for assessment of colonic and whole gut transit, high resolution anorectal manometry, and colonic manometry. These tests provide a better definition of the underlying mechanism(s), which in turn can lead to improved management of this condition. In this review, we summarize the recent advances in diagnostic testing with a particular emphasis on when and why to test, and discuss the utility of diagnostic tests for chronic constipation."
37,Prediction of Delayed Colonic Transit Using Bristol Stool Form and Stool Frequency in Eastern Constipated Patients: A Difference From the West,J Neurogastroenterol Motil,Veeravich Jaruvongvanich,https://doi.org/10.5056/jnm17022,"Background/aims: The correlation between the Bristol stool form scale (BSFS) and colonic transit time (CTT) has been reported in Western populations. Our study aims to study the relationship between BSFS, stool frequency, and CTT in Eastern patients with chronic constipation.
Methods: A total of 144 chronic functional constipation patients underwent colonic transit study by using radio-opaque markers, anorectal manometry, and balloon expulsion test. Stool diary including stool forms and frequency was recorded. Delayed CTT was defined as the retention of more than 20.0% of radio-opaque markers in the colon on day 5.
Results: Twenty-five patients (17.4%) had delayed colonic transit. Mean 5-day BSFS (OR, 0.51; 95% CI, 0.34-0.79; P = 0.021) and stool frequency (OR, 0.60; 95% CI, 0.44-0.83; P = 0.002) were independently associated with delayed CTT by logistic regression analysis. Mean 5-day BSFS (area under the curve [AUC], 0.73; 95% CI, 0.62-0.84; P < 0.001) and stool frequency (AUC, 0.75; 95% CI, 0.63-0.87; P < 0.001) fairly predicted delayed CTT. The optimal mean 5-day BSFS of ??3 provided 68.0% sensitivity, 69.7% specificity, and 69.4% accuracy, and the optimal stool frequency ??2 bowel movements in 5 days provided 64.0% sensitivity, 83.1% specificity, and 84.0% accuracy for predicting delayed CTT.
Conclusions: Both stool form and frequency were significantly associated with delayed CTT. Stool frequency ??2 and BSFS 1-3 rather than BSFS 1-2 that was used in the Westerners could be used as surrogate for delayed CTT in Eastern patients with constipation."
38,Assessing Children's Report of Stool Consistency: Agreement Between the Pediatric Rome III Questionnaire and the Bristol Stool Scale,J Pediatr,Mana H Vriesman,https://doi.org/10.1016/j.jpeds.2017.07.002,"Objectives: To assess the agreement between the Questionnaire on Pediatric Gastrointestinal Symptoms-Rome III (QPGS-RIII) and the Bristol Stool Scale (BSS) in evaluating stool consistency and the diagnosis of functional constipation in children.
Study design: Children aged 8-18 years were asked to describe their stool consistency in the previous month according to the QPGS-RIII and the BSS. Stool consistency according to both instruments was categorized into 3 categories: ""hard,"" ""normal,"" and ""liquid."" The children's reported stool consistency using the QPGS-RIII and the BSS were compared, and the intrarater agreement between the 2 instruments was measured using the Cohen kappa coefficient (κ). The diagnosis of functional constipation was based on the Rome III criteria, incorporating the assessment of stool consistency according to the QPGS-RIII and the BSS.
Results: A total of 1835 children were included. Only slight agreement existed between the QPGS-RIII and the BSS for assessing stool consistency (κ = .046; P = .022). Significantly more children reported hard stools on the BSS compared to the QPGS-RIII (18.0% vs 7.1%; P = .000). The prevalence of functional constipation was 8.6% using the QPGS-RIII and 9.3% using the BSS (P = .134).
Conclusions: Only slight agreement exists between the QPGS-RIII and the BSS in the evaluation of stool consistency in children. Better instruments are needed to assess the consistency of stools with a high degree of reliability, both in research and in the clinical setting."
39,The Bristol stool scale and its relationship to Clostridium difficile infection,J Clin Microbiol,Daniel A Caroff,https://doi.org/10.1128/jcm.01303-14,"The Bristol stool form scale classifies the relative density of stool samples. In a prospective cohort study, we investigated the associations between stool density, C. difficile assay positivity, hospital-onset C. difficile infection, complications, and severity of C. difficile. We describe associations between the Bristol score, assay positivity, and clinical C. difficile infection."
40,Real-life study of the effectiveness of a high calorie and high protein formula in the maintenance and improvement of nutritional state in patients with an indication of long-term enteral nutrition,Endocrinol Diabetes Nutr (Engl Ed),Marcia D Ballesteros Pomar,https://doi.org/10.1016/j.endinu.2020.03.010,"The selection of the most appropriate formula in long-term home enteral nutrition is a controversial issue. Our objective was to study a high protein hypercaloric enteral nutrition formula in patients with long-term feeding (180 days).
Methods: Prospective observational multicenter real-life study with high-protein hypercaloric formula (2kcal/ml and 20% protein). General, anthropometric, analytical and quality of life data were collected by visual analog scale of the European Quality of Life-5 Dimensions at the beginning, 60, 120 and 180 days. Gastrointestinal tolerance was assessed with a visual analog scale and Bristol Stool Scale and the risk of malnutrition was assessed using NRS-2002.
Results: 51 patients (88.2% men, mean age 62.0 years), with oncological diseases in 72.5%. No differences in anthropometric data were observed, although the percentage of patients at risk of malnutrition according to NRS 2002 was reduced from 75% to 8.3% (p<0.0001). No differences were observed in albumin, prealbumin, transferrin, lymphocytes or hematocrit. The quality of life improved from 3.84 (1.27) to 5.37 (1.12) on the visual analog scale (p<0.0001). A reduction in gastrointestinal symptoms was observed throughout the period of enteral nutrition. Both the number and percentage of stools considered normal according to the Bristol scale remained stable.
Conclusion: Our study supports that the use of high-protein hypercaloric formulas during a 6-month nutritional treatment allows an adequate nutritional evolution without risk of dehydration and with a good tolerance, even improvement of gastrointestinal symptoms, and can contribute to an improvement in the quality of lifetime."
41,Evaluation of the Symptom of Constipation in Indian Patients,J Clin Diagn Res,Gautam Ray,https://doi.org/10.7860/jcdr/2016/15487.7524,"Introduction: The exact prevalence of constipation in India is unknown. To know this, first it has to be properly defined based on stool frequency and form (as in western definition) in Indian patients, data on which is scarce. There may be difference with the western definition also.
Aim: To determine the stool frequency and form in patients consulting doctor for the complaint of constipation and compare these with the Western definition of constipation.
Materials and methods: This was a prospective cross-sectional study on 331 consecutive patients seeking medical advice for their complaint of constipation. They were administered a questionnaire containing Rome III criteria points of functional constipation and constipation predominant irritable bowel syndrome and the Bristol stool chart to report their predominant stool form. Organic bowel diseases were excluded by further history taking, physical examination and appropriate investigations. The data on stool frequency and form thus obtained were compared with the existing Indian population data.
Results: A total of 65% patients were above 60 years of age. The predominant stool types were 1-3 according to Bristol stool form scale present in 93.8% patients and conformed to Asian criteria of constipation by stool form. Only 67.9% patients passed Bristol Stool Scale (BSS) type 1 and 2 stool which is the western definition. 51.5% reported a frequency of 3-4 motions/week, 19.8% had normal stool frequency by Indian standard (i.e. at least 1 motion/day) and only 35.4% had constipation by Western criteria (less than 3 motions/week). Hence subjective feeling varied widely from observed rate and Western definition was invalid in about twothird of patients. Feeling of incomplete evacuation was universal and this was referred to as constipation by patients. Functional constipation was diagnosed in 69.1% (of whom most were elderly with co-morbidities) and constipation predominant irritable bowel syndrome in 13.8% by Indian standard. Only 2.1% had colonic cancer.
Conclusion: A stool frequency of <5 motions/week appears more appropriate in Indian definition of constipation where the subjective feeling of incomplete evacuation should also be given due weightage. Asian criteria based on stool form holds true in India."
42,Irritable Bowel Syndrome and Quality of Life in Women With Fecal Incontinence,Female Pelvic Med Reconstr Surg,Alayne D Markland,https://doi.org/10.1097/spv.0000000000000358,"Objectives: The objectives of this work were to determine the prevalence of irritable bowel syndrome (IBS) and IBS subtypes in women presenting for fecal incontinence (FI) treatment and to assess the impact of IBS on FI symptoms and quality of life (QOL).
Methods: In this multicenter prospective cohort study, women reported at least monthly solid, liquid, or mucus FI. Rome III clinical criteria defined IBS. Women also self-reported having an IBS diagnosis. Baseline questionnaires included the following: Modified Manchester Health Questionnaire, Fecal Incontinence Severity Index, Bristol Stool Scale, Pelvic Floor Distress Inventory, and the Pelvic Floor Impact Questionnaire.
Results: Of the 133 women enrolled, 119 completed Rome III IBS questionnaires, and 111 reported on whether they had a previous diagnosis of IBS. The prevalence of IBS was 31% (95% confidence interval [CI], 22.9%-40.2%) according to the Rome III IBS criteria. The most common subtypes were IBS-mixed (41%) and IBS-diarrhea (35%). Twenty-four (22%) of 111 patients had a previous diagnosis of IBS. Among women who met Rome III IBS criteria, 23 (66%) of 35 women had never had a diagnosis of IBS. Women with FI and IBS reported significantly worse QOL compared to women without IBS despite similar FI severity and stool consistency.
Conclusions: Irritable bowel syndrome negatively affects QOL and affects one third of women with FI presenting for care in tertiary centers. Our findings suggest that assessment of IBS symptoms and diagnosis may be important for women presenting for FI treatment."
43,Gastrointestinal adverse reactions reduce the success rate of Helicobacter pylori eradication therapy: A multicenter prospective cohort study,Helicobacter,Toshihiko Kakiuchi,https://doi.org/10.1111/hel.12776,"Background: The screening and treatment of Helicobacter pylori infection for all junior high students in Saga Prefecture, Japan, were started in 2016. The present study aims to evaluate the influence of adverse reactions on the success of the eradication therapy.
Methods: From 2017 to 2019, 25,006 third-grade junior high school students were tested for urinary anti-H. pylori antibodies. Positive cases were confirmed by H. pylori stool antigen tests. Of the 531 students who were found to be H. pylori-positive, 390 (358 in first-line and 32 in second-line therapy) underwent eradication therapy, and 274 (242 in first-line and 32 in second-line) students actually completed a self-reported form to rate stool consistency (based on the Bristol Stool Scale), the maximum number of bowel movements, and abdominal symptoms during the 7 days of treatment.
Results: Among the 274 students, the total of primary and secondary eradication success rates was 87% (95% confidential interval: 82.9-90.1) in intention-to-treat analysis. On days 4, 5, and 6, stool consistency was looser in the primary eradication failure group than in the success group (p < .05). Looser stool consistencies were observed in male students with abdominal pain compared to those who did not experience pain (p < .05). Abdominal pain and diarrhea were detected in 28.5% and 42.7% of the subjects, respectively. The overall incidence of other adverse events was low (n = 8/274, 2.9%), and only two students discontinued treatment because of adverse events.
Conclusions: Softening of the stool was related to the eradication failure in the junior high school students, especially in males with abdominal pain. Adverse effects did not induce discontinuation of the eradication treatment."
44,Constipation in Elderly Patients with Noncancer Pain: Focus on Opioid-Induced Constipation,Drugs Aging,Sita Chokhavatia,https://doi.org/10.1007/s40266-016-0381-2,"Constipation is a common and often debilitating condition in the elderly, which may be caused by underlying disease conditions, structural abnormalities in the bowel, and a variety of medications such as anticholinergics, antidepressants, and opiates. In this review, we focus on opioid-induced constipation (OIC), which is often underrecognized and undertreated in the elderly. When opioid therapy is initiated, healthcare providers are encouraged to evaluate risk factors for the development of constipation as part of a thorough patient history. To this end, the patient assessment should include the use of validated instruments, such as the Bristol Stool Scale and Bowel Function Index, to confirm the diagnosis and provide a basis for evaluating treatment outcomes. Healthcare providers should use a stepwise approach to the treatment of OIC in the elderly. Conventional laxatives are a first-line option and considered well tolerated with short-term use as needed; however, evidence is lacking to support their effectiveness in OIC. Moreover, because of the risk of adverse events and other considerations, such as chewing difficulties and swallowing disorders, conventional oral laxatives may be inappropriate for the treatment of OIC in the elderly. Thus, the availability of new pharmacologic agents such as the peripherally acting µ-opioid receptor antagonists methylnaltrexone and naloxegol, which target the underlying causes of OIC, and the secretagogue lubiprostone may provide more effective treatment options for elderly patients with OIC."
45,Somatostatin analogues for refractory diarrhoea in familial amyloid polyneuropathy,PLoS One,Michael Collins,https://doi.org/10.1371/journal.pone.0201869,"Introduction: Familial amyloid polyneuropathy (FAP) is a genetic disease leading to the production of a variant transthyretin (TTR) or a beta variant β2-microglobulin. FAP may be associated with refractory diarrhoea. In this study, we assessed the efficacy and tolerance of somatostatin analogues in refractory diarrhoea associated with FAP.
Methods: FAP patients from the French national referral center who received somatostatin analogues for a refractory diarrhoea were retrospectively studied. We assessed remission of diarrhoea, as defined by a stool consistence of five or less on the Bristol stool scale, assessed after three to six months of follow-up. Stool frequency and continence before and after three to six months of treatment were also compared by the means of Wilcoxon and McNemar's exact tests, respectively.
Results: Fourteen patients treated with somatostatin analogues were evaluable. After three to six months of follow-up, 9/14 patients (64% 95%CI = [35%; 87%]) had remission of diarrhoea. This was significantly higher than a theoretical remission rate of 20% (p = 0.0004). There was a significant decrease of daily bowel movement from 6 to 2.5 per day (p = 0.002). Twelve/14 (85%) patients had incontinence at baseline vs 8/14 (57%) after three to six months of follow-up (p = 0.134). Three out of 14 patients (21%) had a severe adverse event; two patients had hypoglycaemia, and one had endocarditis due to an injection-site bacterial infection.
Conclusion: This study suggests that somatostatin analogues may benefit to patients with FAP and refractory diarrhoea. Approximately 20% of patients had severe adverse events, including hypoglycaemia."
46,Topical therapy with rhubarb navel plasters in patients with chronic constipation: Results from a prospective randomized multicenter study,J Ethnopharmacol,Lin Wei,https://doi.org/10.1016/j.jep.2020.113096,"Ethnopharmacological relevance: Constipation is a functional gastrointestinal disorder and one of the most prevalent conditions encountered in primary care settings. Rhubarb navel dressings have been used for more than 2,000 years in Chinese medicine to treat constipation. However, the effect of topical rhubarb administration has still not been well recognized and this strategy is not yet established as an evidence-based approach.
Aim of the study: In this study, we performed a prospective multicentric randomized controlled trial to evaluate the efficacy and safety of rhubarb navel plasters for patients with chronic constipation.
Materials and methods: A total of 374 patients from six teaching hospitals were prospectively included between 09/2016 and 10/2017 in the study based on Rome III criteria. All participants were randomly assigned (1:1) into verum/placebo group and given either Rheum officinale rhubarb powder or a placebo flour stick on the navel for 6 h/day/8 days. Primary outcome measures were the Cleveland Constipation Score (CCS) for the feces condition and Bristol Stool Scale (BSS) for stool consistency and 24 h defecation frequency.
Results: The groups demonstrated no statistical differences in demographic data, clinical diagnoses and concomitant medication at baseline. In patients treated with the verum CCS was 5.61 (day 8, 95% CI 5.15-6.07) compared to 8.62 (95% CI 8.07-9.18) in placebo-treated controls (P < 0.001). The mean change of CCS at the end of treatment (day 8 versus [vs] day 0) was 6.04 in verum-treated vs 2.73 in placebo-treated controls (P < 0.001). Also 24 h defecation frequency (BSS) showed superior results (day 5: 0.84 vs 0.62, 95% CI 0.67-0.80, P < 0.001; day 6: 0.82 vs 0.60, 95% CI 0.64-0.78, P < 0.01 and day 8: 0.82 vs 0.60, 95% CI 0.64-0.78, P < 0.01) and better BSS type classification during treatment than controls (P < 0.05). No significant differences in adverse events between both groups became obvious.
Conclusion: Rhubarb navel plaster administration over an 8-day-treatment period resulted in significantly improved bowel function as demonstrated by the CCS, 24 h defecating frequency and BSS. Our results suggest that rhubarb navel plasters represent a feasible, safe and efficient application route for the treatment of patients suffering from chronic constipation."
47,Time to treatment response of a magnesium- and sulphate-rich natural mineral water in functional constipation,Nutrition,Christophe Dupont,https://doi.org/10.1016/j.nut.2019.02.018,"Objectives: First-line recommendations for the management of functional constipation include nutritional-hygienic measures. We previously showed that a natural mineral water rich in sulphates and magnesium (Hépar) is efficient in the treatment of functional constipation. The aim of this study was to consolidate those first results and determine a precise time to respond to Hépar.
Methods: This multicenter, randomized, double-blind, controlled study of the effect of Hépar on stool consistency and frequency in functional constipation included 226 outpatients. After washout, patients used 1.5 L of water daily, including 1 L of Hépar or of low-mineral water, during 14 d. In addition to a daily reporting of stool consistency by the patient, an expert investigator blindly analyzed stool consistency (Bristol stool scale) based on photographs taken by the patient.
Results: The primary endpoint was met. Treatment response was more frequent in the Hépar arm than in the control group at day 14 (50% versus 29%, respectively; P = 0.001). Mean time to treatment response was shorter in the Hépar group (6.4 d) than in the control arm (7.3 d; P = 0.013). Concomitant stool scoring was available for 60% of the patients. Scores given to 79% of the stools were similar between the patient and the expert (differences ??). Safety analyses showed excellent results.
Conclusion: This study confirms the efficacy and safety of Hépar in the treatment of functional constipation and shows that it is associated with a response within 7 d. Hépar could be a safe response to the current absence of first-line medication in the treatment of functional constipation."
48,"Feasibility of Low Fermentable Oligosaccharide, Disaccharide, Monosaccharide, and Polyol Diet and Its Effects on Quality of Life in an Italian Cohort",Nutrients,Arianna Cingolani,https://doi.org/10.3390/nu12030716,"The low Fermentable oligosaccharides, disaccharides, monosaccharides, and polyols (FODMAP) diet has demonstrated excellent results in terms of symptom control and health-related quality of life (HRQoL) in irritable bowel syndrome (IBS) sufferers, but patients have complained about unsatisfying taste, difficulty in following the diet, and time consumption. To investigate the feasibility of the low FODMAP diet in an Italian (Sardinian) cohort, sixty consecutive eligible outpatients (11 men and 49 women) with IBS were enrolled and followed a low FODMAP diet (gluten allowed, restriction phase of four weeks, reintroduction phase of four weeks). Food habits were assessed using 24-hour dietary recall, Bristol Stool Scale for stool consistency, Visual Analogue Scale for abdominal bloating, VAS (Visual Analogue Scale) for abdominal pain, IBS Severity Scoring System for perceived disease severity, and a 12-item Short Form Survey for HRQoL (psychological component summary + mental component summary) were applied at baseline (T0) and at the end of each phase (T1-four weeks and T2-eight weeks). Statistical analysis was performed by dividing the cohort into diarrhoea-dominant IBS (IBS-D) and other IBS subtypes (selected IBS-others). Comparisons between T1 and T2 vs. T0 and T2 vs. T1 were performed. The low FODMAP diet lowered VASp (VAS pain), VASb (VAS bloating), and IBS SSS (IBS Severity Scoring System), and increased PCS (Physical Component Summary) and MCS (Mental Component Summary) in both subgroups. Bristol Stool Scale (BSS) only improved in the IBS-D subgroup. The dropout mean values for MCS were higher than treated subjects and the percentage of unemployment was lower in the dropouts. According to the dropout features, the low FODMAP diet seems to show greater feasibility for patients with more time to dedicate to the diet (unemployed, homemakers, housewives, or students), more motivation, and more severe clinical features, independent of their place of residence."
49,Clinical correlates of faecal incontinence in systemic sclerosis: identifying therapeutic avenues,Rheumatology (Oxford),Nicolas Richard,https://doi.org/10.1093/rheumatology/kew441,"Objectives: The aim was to establish the prevalence and severity of faecal incontinence (FI) in SSc, its association with other intestinal manifestations and potential predictors of FI, and its impact on quality of life.
Methods: A multicentre, cross-sectional study of 298 SSc subjects followed in the Canadian Scleroderma Research Group cohort was performed using validated questionnaires: Jorge-Wexner score (an FI severity scale), Bristol stool scale (a visual scale of stool consistency) and FI Quality-of-Life scale. Constipation was defined by the Rome III criteria. Associations between the Jorge-Wexner score and other clinical variables were determined using multivariate regression analyses.
Results: Eighty-one (27.2%) subjects had FI, which was mild in 37 (12.4%) and moderate to severe in 44 (14.8%). Most patients had well-formed stools, 111 (38.8%) reported constipation and 38 (13.4%) had been previously treated for small intestinal bacterial overgrowth (SIBO). Variables independently associated with FI were: loose vs well-formed stools [odds ratio (OR) = 7.01, 95% CI: 2.09, 23.51)], constipation (OR = 3.64, 95% CI: 1.61, 8.27, P = 0.002), history of SIBO (OR = 2.97, 95% CI: 1.06, 8.27) and urinary incontinence (OR = 2.45, 95% CI: 1.14, 5.27). Quality of life measured with the FI Quality-of-Life scale was inversely correlated with FI severity (correlation coefficients between -0.602 and -0.702, P < 0.001).
Conclusion: FI was common and often severe in SSc. Loose stools, SIBO, constipation and urinary incontinence were strongly associated with FI. Other than targeting anorectal dysfunction, concomitant treatment of clinical correlates could lead to improvement in FI and quality of life in SSc."
